# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed10.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1831 4 2.016072220404e+00 -1.000364944799e+01 8.338022238611e+01 8.639767646790e+00 -2.720615625381e+00
G1-1 1832 1 1.745440686445e+01 1.371178634608e+01 1.067018668909e+02 7.136044502258e+00 -2.414589881897e+00
G1-1 1832 2 1.745440686445e+01 1.756063897463e+01 1.088040306207e+02 6.753879547119e+00 -2.247328758240e+00
G1-1 1832 3 1.745440686445e+01 1.756063897463e+01 1.044221992481e+02 6.786181449890e+00 -2.255975484848e+00
G1-1 1832 4 1.326177940664e+01 1.756063897463e+01 1.088040306207e+02 4.741092205048e+00 -1.511739373207e+00
G1-1 1833 1 1.348540595346e+01 -1.052389359384e+01 8.355579862060e+01 8.278043746948e+00 -2.699670791626e+00
G1-1 1833 2 1.256950382982e+01 -7.085860126311e+00 8.269799550442e+01 7.390194416046e+00 -2.252366781235e+00
G1-1 1833 3 1.256950382982e+01 -9.242068978220e+00 8.643265825254e+01 5.314377307892e+00 -1.304904580116e+00
G1-1 1833 4 1.592360579607e+01 -7.085860597833e+00 8.269799739051e+01 1.834316730499e+00 3.761209249496e-01
G1-1 1834 1 -4.985327436861e+00 -1.490558151694e+01 8.316817773909e+01 4.271206378937e+00 -1.049554228783e+00
G1-1 1834 2 -2.166621249570e+00 -1.784245578616e+01 8.158267823298e+01 3.470507383347e+00 -7.003930807114e-01
G1-1 1834 3 -2.166621249570e+00 -1.784245578616e+01 8.596450960552e+01 7.324342250824e+00 -2.380242824554e+00
G1-1 1834 4 -6.359248648442e+00 -1.784245578616e+01 8.596450960552e+01 7.048686981201e+00 -2.278141260147e+00
G1-1 1835 1 1.615881372891e+01 1.350687905960e+01 1.150804059560e+02 6.333954811096e+00 -2.096001386642e+00
G1-1 1835 2 1.196618627109e+01 1.751226704381e+01 1.172325887905e+02 5.257465362549e+00 -1.708805799484e+00
G1-1 1835 3 1.615881372891e+01 1.751226704381e+01 1.128507558921e+02 6.053833961487e+00 -1.999914407730e+00
G1-1 1835 4 1.196618627109e+01 1.751226704381e+01 1.128507558921e+02 5.140712261200e+00 -1.661364912987e+00
G1-1 1836 1 3.493400806402e+00 1.979859457588e+00 8.340896807552e+01 8.611305236816e+00 -2.777752637863e+00
G1-1 1836 2 5.971390023728e+00 4.854970263044e+00 8.253170308839e+01 8.594629287720e+00 -2.811424255371e+00
G1-1 1836 3 2.610985913720e+00 4.747438921495e+00 8.252189708960e+01 8.587959289551e+00 -2.825400114059e+00
G1-1 1836 4 6.066879034081e+00 3.456586454570e+00 8.508055308437e+01 8.452420234680e+00 -2.739693641663e+00
G1-1 1837 1 -1.430078851965e+01 -3.855697051161e+00 9.829612836627e+01 3.679700374603e+00 -1.099229335785e+00
G1-1 1837 2 -1.355378549274e+01 -6.859229611740e+00 9.490574693407e+01 7.994160652161e+00 -4.013545513153e+00
G1-1 1837 3 -1.690788745898e+01 -6.859229611740e+00 9.490574693407e+01 4.040977001190e+00 -1.238476157188e+00
G1-1 1837 4 -1.690788745898e+01 -2.588363055146e+00 9.517767592232e+01 2.189478874207e+00 -4.756758809090e-01
G1-1 1838 1 -2.025975111448e+00 -6.534414641254e+00 1.184017768334e+02 6.791683197021e+00 -2.191757440567e+00
